PLAYER,SEASON_START_YEAR,POS,BODY.FAT..,HAND.LENGTH..inches.,HAND.WIDTH..inches.,HEIGHT.W.O.SHOES,HEIGHT.W..SHOES,STANDING.REACH,WEIGHT..LBS.,WINGSPAN
Sean Banks,2005,SF,NA,NA,NA,197.48499999999999,200.66,274.32,206.4,215.9
Eddie Basden,2005,SG-SF,NA,NA,NA,193.67499999999998,196.85,256.54,210,208.915
Mike Bell,2005,SF-PF,NA,NA,NA,205.105,206.375,265.43,206.2,217.17000000000002
Andrew Bogut,2005,C-PF,NA,NA,NA,210.82,213.995,280.67,250.6,220.98000000000002
Dee Brown,2005,PG-SG,NA,NA,NA,180.34,182.88,238.76000000000002,179,187.96
Will Bynum,2005,PG-SG,NA,NA,NA,179.07,181.61,236.22000000000003,188.8,191.76999999999998
Marcus Campbell,2005,C,NA,NA,NA,208.915,213.995,289.56,280.4,228.60000000000002
Will Conroy,2005,PG,NA,NA,NA,185.42,187.96,245.11,188.6,190.5
Taylor Coppenrath,2005,PF-SF,NA,NA,NA,202.565,206.375,270.51,252.4,212.09
Travis Diener,2005,PG-SG,NA,NA,NA,182.245,185.42,237.49,165.2,182.245
Ike Diogu,2005,PF,NA,NA,NA,199.39,203.2,276.86,255.4,222.25
Daryl Dorsey,2005,PG,NA,NA,NA,180.975,184.15,238.76000000000002,160.8,181.61
Monta Ellis,2005,SG-PG,NA,NA,NA,188.595,191.135,248.92000000000002,176.6,189.865
Raymond Felton,2005,PG,NA,NA,NA,181.61,183.515,248.92000000000002,199.4,193.67499999999998
Rudy Fernandez,2005,SG,NA,NA,NA,194.945,198.12,257.81,172,201.93
D'Or Fischer,2005,C-PF,NA,NA,NA,206.375,209.55,280.67,242.4,228.60000000000002
Eddy Fobbs,2005,C-PF,NA,NA,NA,208.915,211.45499999999998,283.21,235.2,230.50500000000002
Sharrod Ford,2005,PF,NA,NA,NA,201.295,203.835,269.24,212.8,217.17000000000002
Channing Frye,2005,PF-C,NA,NA,NA,207.01,209.55,280.67,243.6,219.71
Deng Gai,2005,PF-C,NA,NA,NA,202.565,206.375,280.67,214,224.79000000000002
Francisco Garcia,2005,SF-SG,NA,NA,NA,197.48499999999999,200.66,261.62,189.6,210.185
John Gilchrist,2005,PG,NA,NA,NA,186.055,189.23,245.11,195.2,206.375
Marcin Gortat,2005,PF-C,NA,NA,NA,210.82,213.36,279.4,225.2,222.25
Joey Graham,2005,SF,NA,NA,NA,196.215,199.39,264.16,216.6,203.2
Danny Granger,2005,,NA,NA,NA,201.93,204.47,261.62,225.4,217.17000000000002
Gerald Green,2005,SF,NA,NA,NA,198.12,201.295,264.16,192,207.64499999999998
Charles Hayes,2005,SF-PF,NA,NA,NA,196.85,200.025,265.43,232.4,208.28
Luther Head,2005,PG-SG,NA,NA,NA,187.96,190.5,250.19,178.8,196.215
Julius Hodge,2005,SG-SF,NA,NA,NA,198.12,200.66,273.05,202.2,214.63000000000002
Jared Homan,2005,C-PF,NA,NA,NA,202.565,205.105,265.43,248.2,216.53500000000003
Ersan Ilyasova,2005,SF,NA,NA,NA,202.565,205.74,278.13,208.8,216.53500000000003
Jarrett Jack,2005,PG,NA,NA,NA,189.23,191.76999999999998,254,197.6,201.93
Dwayne Jones,2005,C-PF,NA,NA,NA,204.47,208.28,275.59,242.2,220.34500000000003
Mindaugas Katelynas,2005,SF-PF,NA,NA,NA,201.93,204.47,267.97,217,210.82
Jason Klotz,2005,C-PF,NA,NA,NA,204.47,207.64499999999998,273.05,249.4,208.28
Carl Krauser,2005,PG-SG,NA,NA,NA,181.61,184.785,250.19,193.4,196.85
Keith Langford,2005,SG-SF,NA,NA,NA,188.595,191.76999999999998,256.54,203.2,205.74
David Lee,2005,PF,NA,NA,NA,202.565,205.74,270.51,229.5,213.36
David Lucas,2005,PF,NA,NA,NA,199.39,202.565,262.89,233.4,213.36
John Lucas III,2005,PG,NA,NA,NA,175.895,179.07,233.68,154.4,182.88
Rawle Marshall,2005,SG-SF,NA,NA,NA,194.31,197.48499999999999,264.16,186.6,215.9
Jason Maxiell,2005,PF,NA,NA,NA,195.57999999999998,198.755,271.78000000000003,257.6,221.615
Sean May,2005,PF,NA,NA,NA,200.66,204.47,266.7,258.8,216.53500000000003
Rashad McCants,2005,SG,NA,NA,NA,189.865,193.04,262.89,201,210.185
Ivan McFarlin,2005,PF,NA,NA,NA,196.85,200.025,267.97,228.6,205.74
Juan Mendez,2005,PF-SF,NA,NA,NA,196.215,200.025,270.51,231.4,213.36
Aaron Miles,2005,PG,NA,NA,NA,182.88,186.69,238.76000000000002,174.6,191.76999999999998
Ellis Myles,2005,PF,NA,NA,NA,198.12,201.295,267.97,255.2,207.64499999999998
Larry O'Bannon,2005,SG,NA,NA,NA,190.5,193.67499999999998,252.73000000000002,196,198.12
Drago Pasalic,2005,SF-PF,NA,NA,NA,207.01,210.82,275.59,238.8,212.725
Chris Paul,2005,PG,NA,NA,NA,182.245,185.42,236.22000000000003,178,193.67499999999998
Kevin Pittsnogle,2005,PF,NA,NA,NA,206.375,208.915,269.24,259.2,209.55
Carlos Powell,2005,SF-PF,NA,NA,NA,196.215,200.025,266.7,221.8,210.185
Roger Powell,2005,SF,NA,NA,NA,194.945,198.12,264.16,218.6,212.09
Ronnie Price,2005,PG,NA,NA,NA,184.785,188.595,245.11,184.8,196.85
Anthony Roberson,2005,PG,NA,NA,NA,184.785,189.23,241.3,178.8,189.865
Brandon Rush,2005,SG-SF,NA,NA,NA,195.57999999999998,199.39,265.43,211.4,211.45499999999998
Luke Schenscher,2005,C,NA,NA,NA,212.725,217.17000000000002,283.21,241.6,226.06
Wayne Simien,2005,PF,NA,NA,NA,201.295,205.74,271.78000000000003,255.8,213.36
Tre Simmons,2005,SG-SF,NA,NA,NA,193.04,195.57999999999998,260.35,194.2,201.93
David Simon,2005,C-PF,NA,NA,NA,203.2,207.01,274.32,258.8,222.25
Chris Taft,2005,PF,NA,NA,NA,204.47,207.01,276.86,261,217.805
Chris Thomas,2005,PG,NA,NA,NA,182.245,185.42,241.3,176.2,190.5
Omar Thomas,2005,SF-SG,NA,NA,NA,191.135,194.31,259.08,200,203.2
Dijon Thompson,2005,SF-SG,NA,NA,NA,198.755,203.2,267.97,195.8,207.64499999999998
Ronny Turiaf,2005,PF,NA,NA,NA,203.2,206.375,270.51,237.8,217.17000000000002
Charlie Villanueva,2005,PF-SF,NA,NA,NA,205.74,207.01,276.86,236.6,213.995
Hakim Warrick,2005,PF-SF,NA,NA,NA,201.295,204.47,274.32,215,218.44000000000003
Martell Webster,2005,SF,NA,NA,NA,198.12,201.93,269.24,229.6,210.82
Robert Whaley,2005,PF-C,NA,NA,NA,203.2,205.74,274.32,269.4,218.44000000000003
Marvin Williams,2005,PF-SF,NA,NA,NA,200.66,203.835,274.32,228.2,222.25
Deron Williams,2005,PG,NA,NA,NA,187.325,189.865,248.92000000000002,202.4,198.755
Jawad Williams,2005,SF,NA,NA,NA,200.66,203.2,270.51,218,216.53500000000003
Antoine Wright,2005,SF-SG,NA,NA,NA,196.215,198.755,265.43,202.6,205.105
Bracey Wright,2005,SG-PG,NA,NA,NA,186.055,189.23,255.27,186.8,208.28
Kenny Adeleke,2006,PF-C,10.5,NA,NA,199.39,202.565,264.16,250,208.915
Maurice Ager,2006,SG-PG,8,NA,NA,191.135,194.31,257.81,203,202.565
LaMarcus Aldridge,2006,PF-C,8.7,NA,NA,208.28,211.45499999999998,279.4,234,225.425
Morris Almond,2006,SG-SF,6.9,NA,NA,194.945,198.12,260.35,214,208.28
Lou Amundson,2006,PF,6.8,NA,NA,201.168,203.2,262.89,221,212.09
Rashad Anderson,2006,SG,17.3,NA,NA,191.135,194.31,254,224,200.66
Hilton Armstrong,2006,C-PF,6.3,NA,NA,207.01,208.915,276.86,240,223.52
James Augustine,2006,PF,5.5,NA,NA,203.835,207.64499999999998,264.16,227,213.995
Renaldo Balkman,2006,SF-PF,4.9,NA,NA,196.215,199.39,265.43,206,215.9
J.P. Batista,2006,PF,12,NA,NA,201.93,204.47,262.89,265,208.28
Will Blalock,2006,PG,7.2,NA,NA,180.975,184.15,245.11,194,198.12
Brandon Bowman,2006,SF,8.4,NA,NA,200.025,203.835,261.62,209,212.09
Ronnie Brewer,2006,SG-PG,5,NA,NA,197.48499999999999,200.025,262.89,223,211.45499999999998
Denham Brown,2006,SG-SF,9,NA,NA,193.04,195.57999999999998,260.35,218,207.01
Brad Buckman,2006,PF,10.5,NA,NA,201.295,205.105,273.05,238,213.36
Nik Caner-Medley,2006,SF,9.6,NA,NA,199.39,203.2,261.62,234,205.74
Rodney Carney,2006,SG-SF,5.3,NA,NA,194.31,197.48499999999999,262.89,204,208.28
Keydren Clark,2006,PG,11.6,NA,NA,175.26,178.435,234.95000000000002,184,189.23
Mardy Collins,2006,PG-SG,10,NA,NA,193.67499999999998,196.85,261.62,224,208.28
Taquan Dean,2006,SG-PG,3.9,NA,NA,187.96,190.5,248.92000000000002,183,200.025
Terence Dials,2006,PF-C,15.8,NA,NA,202.565,205.74,269.24,253,213.36
Sean Dockery,2006,PG-SG,7.3,NA,NA,184.785,187.96,242.57000000000002,182,194.31
Jordan Farmar,2006,PG,4.4,NA,NA,184.785,187.96,240.03000000000003,171,190.5
Randy Foye,2006,SG-PG,10,NA,NA,188.595,191.135,246.38,212,198.755
Torin Francis,2006,PF-C,12.4,NA,NA,205.74,208.28,267.97,247,215.9
Rudy Gay,2006,SF-PF,5.7,NA,NA,200.66,203.2,273.05,222,220.98000000000002
Nick George,2006,SF-SG,6,NA,NA,193.04,197.48499999999999,261.62,201,208.28
Taj Gray,2006,PF-SF,6.8,NA,NA,201.295,204.47,271.78000000000003,231,215.26500000000001
Dan Grunfeld,2006,SF-SG,10.4,NA,NA,194.945,198.12,251.46,216,198.755
Matt Haryasz,2006,PF-C,9.8,NA,NA,207.64499999999998,210.82,273.05,219,213.995
Eric Hicks,2006,PF,7.1,NA,NA,194.945,196.85,267.97,238,217.17000000000002
Tedric Hill,2006,SF-PF,7.3,NA,NA,202.565,205.74,271.78000000000003,236,215.9
Daniel Horton,2006,PG-SG,8,NA,NA,184.15,188.595,245.11,198,200.66
Bobby Jones,2006,SF-SG,8,NA,NA,197.48499999999999,200.025,257.81,211,207.01
Solomon Jones,2006,PF-C,7.4,NA,NA,204.47,207.64499999999998,276.86,224,225.425
Viktor Keyru,2006,SG-PG,5.5,NA,NA,196.215,198.12,264.16,202,206.375
Marco Killingsworth,2006,PF,19,NA,NA,196.85,200.025,264.16,266,220.98000000000002
Tarence Kinsey,2006,SF-SG,4.1,NA,NA,194.945,196.85,255.27,179,200.025
Carl Krauser,2006,PG,8,NA,NA,182.245,184.785,246.38,190,198.755
Chris McCray,2006,SG,9.6,NA,NA,190.5,193.04,245.11,187,197.48499999999999
Gerry McNamara,2006,PG-SG,12.8,NA,NA,182.245,184.15,234.95000000000002,177,184.785
Pops Mensah-Bonsu,2006,PF-C,5.8,NA,NA,201.93,205.74,267.97,232,213.36
Paul Miller,2006,PF-C,13.8,NA,NA,204.47,206.375,257.81,251,213.36
Paul Millsap,2006,PF,9.7,NA,NA,198.755,201.295,267.97,258,217.17000000000002
Dwayne Mitchell,2006,SG-SF,4.5,NA,NA,187.96,191.135,250.19,208,199.39
Adam Morrison,2006,SF,6.8,NA,NA,199.39,202.565,266.7,198,208.28
Yemi Nicholson,2006,PF-C,17.2,NA,NA,202.565,207.01,271.78000000000003,258,224.155
David Noel,2006,SF-SG,6.1,NA,NA,194.31,198.12,254,223,207.01
Steve Novak,2006,SF,8.1,NA,NA,203.2,206.375,261.62,216,207.01
Patrick O'Bryant,2006,C,10,NA,NA,210.82,213.36,287.02,249,227.965
Danilo Pinnock,2006,PG-SG,4.6,NA,NA,189.865,193.04,255.27,204,201.93
Chris Quinn,2006,PG-SG,5.9,NA,NA,184.15,186.69,238.76000000000002,175,195.57999999999998
Allan Ray,2006,SG,9.8,NA,NA,185.42,188.595,252.73000000000002,204,204.47
JJ Redick,2006,SG,7,NA,NA,193.04,194.945,247.65,190,191.135
Antywane Robinson,2006,SF-PF,6.9,NA,NA,198.755,201.93,267.97,217,219.71
Brandon Roy,2006,SG-SF,7.6,NA,NA,196.215,198.755,256.54,207,203.2
Blake Schilb,2006,PG-SG,11.3,NA,NA,196.215,198.755,259.08,209,205.105
Mouhamed Sene,2006,C,6.6,NA,NA,210.82,213.36,287.02,237,234.95000000000002
Cedric Simmons,2006,PF-C,5.6,NA,NA,203.835,207.01,275.59,223,224.155
Marcus Slaughter,2006,PF-SF,8.5,NA,NA,200.66,203.2,265.43,220,212.09
Craig Smith,2006,PF,12.2,NA,NA,196.85,199.39,262.89,259,207.01
Steven Smith,2006,SF-PF,7.8,NA,NA,201.93,206.375,264.16,238,214.63000000000002
Michael Southhall,2006,C,7.9,NA,NA,207.01,208.915,273.05,241,224.155
Frans Steyn,2006,C,12.8,NA,NA,216.53500000000003,219.71,276.86,280,219.07500000000002
Curtis Stinson,2006,SG,6,NA,NA,187.325,189.865,247.65,208,195.57999999999998
Tyrus Thomas,2006,PF-SF,5.6,NA,NA,201.295,203.835,274.32,217,220.98000000000002
Joah Tucker,2006,SF-SG,7,NA,NA,192.405,196.215,252.73000000000002,224,199.39
Ian Vouyoukas,2006,C-PF,14.8,NA,NA,204.47,207.01,275.59,267,215.26500000000001
Darius Washington,2006,PG,9.7,NA,NA,181.61,185.42,243.84,195,193.04
CJ Watson,2006,PG,5.2,NA,NA,184.15,187.325,243.84,171,198.12
Marcus Williams,2006,PG,12.4,NA,NA,187.96,191.135,247.65,215,200.66
Shawne Williams,2006,SF-PF,8,NA,NA,201.295,205.105,264.16,227,220.98000000000002
Justin Williams,2006,C-PF,6.5,NA,NA,201.295,205.105,276.86,211,217.17000000000002
Shelden Williams,2006,PF-C,11.4,NA,NA,201.93,204.47,264.16,258,224.155
Eric Williams,2006,C-PF,13,NA,NA,201.295,205.105,270.51,285,224.155
Curtis Withers,2006,PF-SF,5,NA,NA,198.12,199.39,256.54,227,208.28
Mohamed Abukar,2007,SF,8.9,NA,NA,203.2,207.64499999999998,261.62,210,205.74
Mario Boggan,2007,PF,9.2,NA,NA,195.57999999999998,200.66,271.78000000000003,240,218.44000000000003
Craig Bradshaw,2007,PF,12.1,NA,NA,203.2,207.64499999999998,270.51,240,217.17000000000002
Corey Brewer,2007,SF-SG,4.2,NA,NA,198.12,202.565,261.62,185,203.835
Aaron Brooks,2007,PG,2.7,NA,NA,177.8,182.245,238.76000000000002,161,193.04
Bobby Brown,2007,PG,6.6,NA,NA,180.34,187.325,242.57000000000002,170,193.04
Russell Carter,2007,SG,6,NA,NA,190.5,194.31,247.65,221,204.47
Coleman Collins,2007,PF,6.2,NA,NA,203.2,207.64499999999998,271.78000000000003,236,218.44000000000003
Mike Conley,2007,PG,4.2,NA,NA,180.34,184.785,240.03000000000003,175,197.48499999999999
Daequan Cook,2007,SG,7,NA,NA,190.5,197.48499999999999,257.81,203,203.835
Ryvon Covile,2007,C-PF,8,NA,NA,200.66,204.47,273.05,250,216.53500000000003
Javaris Crittenton,2007,PG,4.5,NA,NA,190.5,194.945,248.92000000000002,194,196.85
Jermareo Davidson,2007,PF,6.9,NA,NA,205.74,210.82,278.13,230,223.52
Justin Doellman,2007,PF,7,NA,NA,203.2,207.01,266.7,205,205.105
Zabian Dowdell,2007,PG,5.1,NA,NA,185.42,190.5,254,191,208.28
Jared Dudley,2007,SF,7.1,NA,NA,195.57999999999998,201.295,259.08,219,200.66
Kevin Durant,2007,SF-PF,6.6,NA,NA,205.74,208.915,279.4,215,225.425
Rashaun Freeman,2007,PF,11.5,NA,NA,198.12,203.2,264.16,244,212.09
Aaron Gray,2007,C,10.8,NA,NA,213.36,217.805,275.59,271,221.615
Caleb Green,2007,PF,10.9,NA,NA,198.12,203.2,261.62,238,212.725
Jeff Green,2007,SF,3.7,NA,NA,200.66,207.01,261.62,228,216.53500000000003
Taurean Green,2007,PG,4.6,NA,NA,180.34,184.785,243.84,173,188.595
Spencer Hawes,2007,PF,13,NA,NA,208.28,215.26500000000001,279.4,244,214.63000000000002
Brandon Heath,2007,PG,9,NA,NA,187.96,192.405,238.76000000000002,181,200.66
Herbert Hill,2007,C,5.6,NA,NA,200.66,207.64499999999998,275.59,232,219.07500000000002
Al Horford,2007,PF,9.1,NA,NA,203.2,207.64499999999998,271.78000000000003,246,215.26500000000001
Quinton Hosley,2007,SF-SG,5.7,NA,NA,195.57999999999998,202.565,266.7,215,211.45499999999998
James Hughes,2007,C,3.5,NA,NA,205.74,210.185,281.94,209,220.98000000000002
Jeremy Hunt,2007,SG,5.2,NA,NA,187.96,194.945,257.81,198,203.835
Ekene Ibekwe,2007,PF,3.2,NA,NA,203.2,205.74,264.16,208,228.60000000000002
Dominic James,2007,PG,4.8,NA,NA,177.8,182.245,236.22000000000003,175,187.96
Trey Johnson,2007,SG,5.4,NA,NA,190.5,197.48499999999999,248.92000000000002,216,195.57999999999998
Rashad Jones-Jennings,2007,PF,5.9,NA,NA,198.12,201.93,267.97,235,213.36
Jared Jordan,2007,PG,7,NA,NA,182.88,187.325,238.76000000000002,183,182.88
Coby Karl,2007,SG-PG,5.4,NA,NA,190.5,194.945,252.73000000000002,204,210.82
Antanas Kavaliauskas,2007,PF,7.7,NA,NA,205.74,209.55,270.51,237,209.55
Carl Landry,2007,PF,7.5,NA,NA,200.66,204.47,260.35,248,210.82
Stephane Lasme,2007,PF,4.9,NA,NA,195.57999999999998,200.66,271.78000000000003,213,218.44000000000003
Acie Law,2007,PG,5.6,NA,NA,187.96,191.76999999999998,248.92000000000002,186,199.39
Marko Lekic,2007,C,11.4,NA,NA,205.74,209.55,275.59,267,215.9
Ron Lewis,2007,SG,4.5,NA,NA,187.96,194.31,251.46,194,199.39
Cartier Martin,2007,SF,5.6,NA,NA,193.04,199.39,262.89,218,208.28
Dominic McGuire,2007,SF,4.7,NA,NA,200.66,203.835,264.16,220,209.55
Josh McRoberts,2007,PF,13.7,NA,NA,203.2,208.28,270.51,240,215.9
Sammy Mejia,2007,SG,8.3,NA,NA,195.57999999999998,200.66,266.7,218,210.82
Brad Newley,2007,SG,8,NA,NA,195.57999999999998,199.39,260.35,201,203.2
Demetris Nichols,2007,SF,6.2,NA,NA,198.12,201.93,266.7,211,213.995
Joakim Noah,2007,PF,4.8,NA,NA,208.28,213.36,270.51,223,216.53500000000003
Greg Oden,2007,C,7.8,NA,NA,210.82,213.36,284.48,257,224.155
Ivan Radenovic,2007,PF,9.8,NA,NA,205.74,210.185,269.24,226,212.725
JR Reynolds,2007,PG,8.2,NA,NA,182.88,189.865,241.3,188,191.135
Chris Richard,2007,PF,7.5,NA,NA,200.66,205.105,280.67,252,224.79000000000002
Dustin Salisbery,2007,SG,6.6,NA,NA,190.5,194.945,255.27,208,203.2
Blake Schilb,2007,SG,10,NA,NA,195.57999999999998,200.66,260.35,214,205.74
Renaldas Seibutis,2007,SG,6.1,NA,NA,193.04,197.48499999999999,256.54,185,205.105
Ramon Sessions,2007,PG,6.2,NA,NA,187.96,192.405,247.65,185,193.67499999999998
Mustafa Shakur,2007,PG,4.1,NA,NA,190.5,194.31,251.46,185,196.85
Jason Smith,2007,PF,7.5,NA,NA,210.185,212.09,269.24,233,210.185
DJ Strawberry,2007,SG,4.5,NA,NA,192.405,195.57999999999998,256.54,199,199.39
Rodney Stuckey,2007,SG-PG,6.1,NA,NA,192.405,194.31,255.27,207,201.295
Curtis Sumpter,2007,SF,5.3,NA,NA,198.12,202.565,264.16,227,207.01
Yue Sun,2007,SF,5.1,NA,NA,202.565,205.105,266.7,212,205.74
Jamaal Tatum,2007,PG,5,NA,NA,181.61,184.785,237.49,168,189.23
Reyshawn Terry,2007,SF,8.9,NA,NA,200.025,201.93,262.89,222,208.28
Al Thornton,2007,SF,5.8,NA,NA,197.48499999999999,200.66,264.16,221,215.9
Anthony Tolliver,2007,PF,5.7,NA,NA,200.66,204.47,273.05,242,219.71
Ali Traore,2007,C-PF,12.1,NA,NA,205.105,207.64499999999998,275.59,249,223.52
Kyle Visser,2007,C,10.2,NA,NA,208.28,212.09,274.32,242,210.82
Darryl Watkins,2007,C,6.9,NA,NA,205.105,208.915,279.4,241,220.98000000000002
Major Wingate,2007,C,6.7,NA,NA,204.47,210.185,276.86,242,223.52
DaShaun Wood,2007,PG,5.4,NA,NA,179.705,181.61,233.68,167,184.785
Julian Wright,2007,SF-PF,6.1,NA,NA,199.39,204.47,274.32,211,219.07500000000002
Brandan Wright,2007,PF,5.8,NA,NA,205.105,208.28,275.59,200,222.88500000000002
Avis Wyatt,2007,PF,3.3,NA,NA,205.105,207.01,271.78000000000003,212,215.9
Jianlian Yi,2007,,NA,NA,NA,NA,NA,NA,NA,NA
Nick Young,2007,SG-SF,6.8,NA,NA,195.57999999999998,200.025,255.27,206,213.36
Thaddeus Young,2007,SF,4.9,NA,NA,197.48499999999999,201.93,269.24,210,212.09
Joe Alexander,2008,SF-PF,5.8,NA,NA,201.295,203.835,269.24,220,212.09
Darrell Arthur,2008,PF,7.3,NA,NA,201.93,204.47,271.78000000000003,216,210.185
D.J. Augustin,2008,PG,8.1,NA,NA,177.8,181.61,240.03000000000003,171.5,191.76999999999998
Jerryd Bayless,2008,PG-SG,4.7,NA,NA,187.325,190.5,246.38,204,191.76999999999998
Michael Beasley,2008,PF-SF,7.7,NA,NA,200.66,203.835,271.78000000000003,239,213.995
Ramel Bradley,2008,PG-SG,5.7,NA,NA,186.055,188.595,248.92000000000002,184,195.57999999999998
Tyrone Brazelton,2008,PG,8.1,NA,NA,177.8,180.34,238.76000000000002,166,187.325
Takais Brown,2008,PF,9.2,NA,NA,201.295,204.47,269.24,252,208.28
Keith Brumbaugh,2008,SF-PF,4,NA,NA,201.93,205.105,265.43,190,201.295
Stanley Burrell,2008,PG,5.6,NA,NA,186.69,189.23,247.65,201,198.755
Brian Butch,2008,C-PF,10.8,NA,NA,207.01,210.82,274.32,229.6,211.45499999999998
Jamar Butler,2008,PG,6,NA,NA,183.515,186.69,246.38,182,194.945
Pat Calathes,2008,SF-PF,7.3,NA,NA,205.105,207.64499999999998,269.24,204,207.64499999999998
Joe Crawford,2008,SG,7.6,NA,NA,190.5,193.04,252.73000000000002,213,197.48499999999999
Chris Daniels,2008,C-PF,16.1,NA,NA,203.835,207.01,276.86,256,214.63000000000002
Joey Dorsey,2008,PF-C,9,NA,NA,198.755,201.295,271.78000000000003,265,217.805
Marcus Dove,2008,SF-PF,5.3,NA,NA,200.025,201.93,266.7,208,212.09
Josh Duncan,2008,PF,5.4,NA,NA,203.2,205.74,265.43,230,212.09
Frank Elegar,2008,PF,4.5,NA,NA,201.295,205.105,269.24,210,221.615
Patrick Ewing Jr.,2008,SF-PF,9.4,NA,NA,198.12,201.295,247.65,224,213.995
Gary Forbes,2008,SG,6.5,NA,NA,194.31,197.48499999999999,265.43,220.5,211.45499999999998
Shan Foster,2008,SG,6.3,NA,NA,193.04,196.215,262.89,194.5,212.09
J.R. Giddens,2008,SG,5.4,NA,NA,193.04,194.945,261.62,208,211.45499999999998
James Gist,2008,PF,4.8,NA,NA,200.66,204.47,273.05,220,223.52
Vladimir Golubovic,2008,C,6.9,NA,NA,211.45499999999998,213.995,283.21,258,219.71
Eric Gordon,2008,SG,8.2,NA,NA,187.96,191.135,251.46,222,205.74
Kentrell Gransberry,2008,C,17.4,NA,NA,200.025,202.565,269.24,290,208.915
Donte Greene,2008,SF-PF,7.6,NA,NA,203.835,205.74,274.32,221,208.28
Malik Hairston,2008,SG,6.9,NA,NA,193.67499999999998,196.215,262.89,204,205.74
DeVon Hardin,2008,C-PF,5.8,NA,NA,207.01,210.185,278.13,235,220.98000000000002
Richard Hendrix,2008,PF,9.2,NA,NA,200.025,205.105,274.32,250,220.98000000000002
George Hill,2008,PG,3,NA,NA,186.055,189.23,247.65,181,205.74
Kyle Hines,2008,SF-PF,3.6,NA,NA,192.405,196.215,265.43,234,216.53500000000003
Jiri Hubalek,2008,C-PF,8.8,NA,NA,207.01,210.82,276.86,226,210.185
Lester Hudson,2008,PG,3.4,NA,NA,182.245,185.42,250.19,196,205.105
Othello Hunter,2008,PF-SF,6.4,NA,NA,199.39,201.93,278.13,220,220.98000000000002
Darnell Jackson,2008,PF,12.5,NA,NA,200.66,202.565,270.51,240.5,211.45499999999998
Shawn James,2008,PF,9.2,NA,NA,202.565,205.74,281.94,217,226.06
Davon Jefferson,2008,SF,12,NA,NA,196.215,199.39,266.7,213,207.01
Joseph Jones,2008,PF,12.2,NA,NA,200.66,204.47,271.78000000000003,240,213.995
DeAndre Jordan,2008,C,7.5,NA,NA,207.64499999999998,210.82,288.29,250,228.60000000000002
Sasha Kaun,2008,C-PF,9.6,NA,NA,205.74,210.185,279.4,247,223.52
Marcelus Kemp,2008,SG,9,NA,NA,190.5,193.67499999999998,262.89,221,204.47
Maarty Leunen,2008,SF,8.9,NA,NA,201.295,204.47,260.35,222,203.2
Longar Longar,2008,C,10.6,NA,NA,205.74,208.28,278.13,212.5,216.53500000000003
Brook Lopez,2008,C,6.3,NA,NA,211.45499999999998,214.63000000000002,287.02,258,227.33
Kevin Love,2008,PF,12.9,NA,NA,202.565,207.01,269.24,255,211.45499999999998
Aleks Maric,2008,C,10.1,NA,NA,207.64499999999998,210.185,278.13,273,215.9
O.J. Mayo,2008,SG-PG,6.3,NA,NA,191.135,193.67499999999998,252.73000000000002,200,198.12
James Mays,2008,PF,8.8,NA,NA,200.025,202.565,266.7,227,217.805
Luc Mbah a Moute,2008,SF,7,NA,NA,197.48499999999999,201.93,262.89,221,219.71
JaVale McGee,2008,C-PF,5.3,NA,NA,210.82,213.36,290.83,241,228.60000000000002
Drew Neitzel,2008,PG,6.2,NA,NA,182.245,184.785,241.3,175.5,189.23
DeMarcus Nelson,2008,PG-SG,4.5,NA,NA,185.42,188.595,250.19,198,208.28
David Padgett,2008,C-PF,9,NA,NA,208.915,212.09,278.13,239.5,215.9
Jeremy Pargo,2008,PG,7.6,NA,NA,184.15,186.69,243.84,208,195.57999999999998
Trent Plaisted,2008,PF,11,NA,NA,206.375,208.915,267.97,240,209.55
Quan Prowell,2008,SF-PF,6.5,NA,NA,200.025,202.565,262.89,225.5,209.55
Shaun Pruitt,2008,C-PF,13.8,NA,NA,203.835,205.74,273.05,242.2,215.9
Anthony Randolph,2008,PF-SF,4.7,NA,NA,205.74,208.915,276.86,197,220.98000000000002
Charles Rhodes,2008,PF,10.7,NA,NA,201.295,203.835,273.05,244,211.45499999999998
John Riek,2008,C,11,NA,NA,209.55,213.36,NA,237,235.585
Brian Roberts,2008,PG,3.6,NA,NA,183.515,186.055,241.3,173,186.055
Russell Robinson,2008,PG,7.4,NA,NA,184.15,186.69,255.27,196,203.2
Richard Roby,2008,SG-SF,9.2,NA,NA,193.67499999999998,196.85,264.16,203,207.64499999999998
Derrick Rose,2008,PG,4.6,NA,NA,186.69,189.23,250.19,196,203.2
Sean Singletary,2008,PG,4.2,NA,NA,180.34,182.88,241.3,183.8,194.31
Ronald Steele,2008,PG,8.1,NA,NA,183.515,186.69,247.65,183.5,193.67499999999998
Mike Taylor,2008,SG-PG,3.8,NA,NA,184.785,187.96,248.92000000000002,166.2,201.295
Bryce Taylor,2008,SG,8.3,NA,NA,189.865,193.67499999999998,252.73000000000002,210,205.74
Mark Tyndale,2008,SG-SF,6.7,NA,NA,189.865,191.76999999999998,262.89,217,210.82
Robert Vaden,2008,SG,6.2,NA,NA,191.76999999999998,194.31,256.54,199,203.2
Deron Washington,2008,SF,7.2,NA,NA,196.215,198.755,260.35,198.5,205.74
Sonny Weems,2008,SG-SF,4.4,NA,NA,193.04,196.85,264.16,193,208.28
